string,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8
kaotas oma maagilise turvise.,,,,,,,,
kaotas oma üleloomuliku kiiruse.,,,,,,,,
kaotas oma üleloomuliku jõu.,,,,,,,,
Sinu maa uus kaitsja on,,,,,,,,
mis läks sulle,,,,,,,,
kulda maksma.,,,,,,,,
(Järgmine kord asub maad kaitsma juba,,,,,,,,
.),,,,,,,,
Kas sa soovid määrata,,,,,,,,
uueks,,,,,,,,
kulla eest?,,,,,,,,
kaitsjaks,,,,,,,,
liitus sinu armeega. (,,,,,,,,
alles palkamiseks),,,,,,,,
See oli neist ka viimane.),,,,,,,,
Aeg ajalt tuleb siia palgatavaid juurde.,,,,,,,,
Kas sa soovid palgata,,,,,,,,
kulla eest?,,,,,,,,
"Kuna on veel hommik, siis sa võid teleportida ükskõik millisesse erilisse paika,",,,,,,,,
kuid päeva lõpuks satud sa siia tagasi!,,,,,,,,
Telepordi,,,,,,,,
Sa tõstsid maa sissetuleku,,,,,,,,
pealt,,,,,,,,
peale.,,,,,,,,
Maa puhkeväärtus ka tõusis 1 võrra.,,,,,,,,
Sa röövisid,,,,,,,,
kulda.,,,,,,,,
Parun,,,,,,,,
Krahv,,,,,,,,
Hertsog,,,,,,,,
Paruness,,,,,,,,
Krahvinna,,,,,,,,
Hertsoginna,,,,,,,,
Vähemalt,,,,,,,,
maa omamine annab sulle õiguse,,,,,,,,
palgale kuninga palees. (,,,,,,,,
$.),,,,,,,,
Kuninga paleest saadeti sulle,,,,,,,,
kulda,,,,,,,,
palgana.,,,,,,,,
Sa saabusid,,,,,,,,
mille omanik on,,,,,,,,
.,,,,,,,,
"Sa kuuled pilkavat häält kõrgelt tornist: ""Keri minema""!",,,,,,,,
Sind rünnati kohe!,,,,,,,,
"Siin seisab väike kants, mile omanik on",,,,,,,,
"Siin seisab tugev linnus, mille omanik on",,,,,,,,
"Su teel seisab võimas kindlus, mille tornid on täis",,,,,,,,
.,,,,,,,,
"Nad lehvitavad sulle rõõmsalt, tapavalmis, hõisates ""Elagu",,,,,,,,
.,,,,,,,,
sõltumatule poolele.,,,,,,,,
"""!",,,,,,,,
Su vastased on surnud. Maa kuulub nüüd sulle!,,,,,,,,
Sa puhkad siin pikalt ja tunned end paremini. (,,,,,,,,
elu),,,,,,,,
Sa kogusid,,,,,,,,
kulda maksudena oma maadelt,,,,,,,,
ja lisaks,,,,,,,,
kulda tänu pangale,,,,,,,,
Mängija,,,,,,,,
", sisestage oma nimi, soovitatavalt mitte üle 7-me tähe..",,,,,,,,
Sisestage nimi siia,,,,,,,,
", (M)ees või (N)aine?",,,,,,,,
Sugu?,,,,,,,,
N,,,,,,,,
M,,,,,,,,
", sa kuuled eemalt lahingumüra. Kas sa soovid lahinguga liituda või liigud eemale?",,,,,,,,
Liigu lahingust eemale,,,,,,,,
", mida sa otsustad?",,,,,,,,
sõjaväge,,,,,,,,
Rüüsta,,,,,,,,
hammustama,,,,,,,,
hammustamis,,,,,,,,
hambad,,,,,,,,
hammustab,,,,,,,,
Kõik lõpuni ehitatud!,,,,,,,,
Annab sulle võimaluse teleportida oma kindlust kaitsma.,,,,,,,,
Suurendab su sissetulekut oma kõikide maade pealt.,,,,,,,,
Portaal,,,,,,,,
",",,,,,,,,
Kas sa saabud oma kindlust kaitsma (läbi portaali) või ei?,,,,,,,,
Telepordi kohale!,,,,,,,,
Ei lähe abistama,,,,,,,,
saabus su kindluse alla!,,,,,,,,
Elud:,,,,,,,,
Nõidusega +,,,,,,,,
kaitsele,,,,,,,,
(,,,,,,,,
päevaks),,,,,,,,
jõule,,,,,,,,
Tuulte käsutamine (Tugevusel,,,,,,,,
),,,,,,,,
Osavusele ja löökide arvule roundis.,,,,,,,,
Sa tekitaksid nõidusega,,,,,,,,
Su nõidus suurendaks sihtmärgi füüsilist jõudu,,,,,,,,
võrra.,,,,,,,,
Su nõidus võtaks tuuled sinu kontrolli alla (tugevusastmel,,,,,,,,
)!,,,,,,,,
Su nõidus suurendaks sihtmärgi osavust ja rünnakute arvu,,,,,,,,
võrra,,,,,,,,
Su nõidus suurendaks sihtmärgi kaitset,,,,,,,,
võrra.,,,,,,,,
päeva möödudes saab tast,,,,,,,,
Sul pole piisavalt raha et palgata käskjalg ja saata lisaks raha temaga kaasa.,,,,,,,,
Sul pole raha käskjala jaoks.,,,,,,,,
Kellele saata kulda?,,,,,,,,
Kellele saata asi?,,,,,,,,
Kellele saata maa omandiõigus?,,,,,,,,
Sa saatsid,,,,,,,,
kõik oma,,,,,,,,
oma,,,,,,,,
", mis asetseb ruudul #",,,,,,,,
.,,,,,,,,
on uus omanik hiljemalt,,,,,,,,
päeva jooksul,,,,,,,,
Kas sa tõesti tahad saata,,,,,,,,
(Saatmine maksab 50 kulda),,,,,,,,
Saada,,,,,,,,
ruudul #,,,,,,,,
"Siin saad saata kulda, asju ja maid teisele mängijale.",,,,,,,,
(Käskjala palkamine maksab,,,,,,,,
kulda ja saatmise ettevalmistamine võtab,,,,,,,,
1/3 päeva,,,,,,,,
.),,,,,,,,
Teine mängija saab su saadetise 3 päeva jooksul.,,,,,,,,
Saada kulda,,,,,,,,
Saada asi,,,,,,,,
Saada maa,,,,,,,,
Vali number 1-,,,,,,,,
Kui palju kulda sa saadad?,,,,,,,,
Sa saadad,,,,,,,,
kulda,,,,,,,,
Sulle saabus,,,,,,,,
kulda!,,,,,,,,
Sulle saabus:,,,,,,,,
on nüüd sinu kontrolli all!,,,,,,,,
Kuld teele saadetud!,,,,,,,,
kullatükk!,,,,,,,,
kulla,,,,,,,,
"Järgmine kord kui siia satud, on karavan juba varandusega tagasi.",,,,,,,,
Töötle relva,,,,,,,,
Kui sul vaid oleks mõni relv kaasas mida siia maagilisse jõkke kasta ..,,,,,,,,
Sepista paremaks,,,,,,,,
Sepp lubab tasuta kasutada oma tööriistu. Võid üritada mõnda relva paremaks teha.,,,,,,,,
Sa võid paremaks teha oma,,,,,,,,
Kas sa tahad paremaks sepistada oma,,,,,,,,
Tänu sinu osavus,,,,,,,,
-le ja arvestades relva enda kvaliteeti on sinu võimalused:,,,,,,,,
võimalus et relval paraneb,,,,,,,,
roll,,,,,,,,
võrra,,,,,,,,
võimalus et relva paremaks sepistamine ebaõnnestub,,,,,,,,
Su,,,,,,,,
läks,,,,,,,,
paremaks sepistamine,,,,,,,,
ebaõnnestus,,,,,,,,
ühe,,,,,,,,
kahe,,,,,,,,
võrra paremaks,,,,,,,,
(võid relva üles korjata).,,,,,,,,
Sul kahjuks pole ühtki relva kaasas,,,,,,,,
koos boonusega,,,,,,,,
Nüüdsest lisandub su nõidumistele +,,,,,,,,
boonustase.,,,,,,,,
Tõstab su nõidumiste taset,,,,,,,,
võrra. (kõik nõidused on nõidumisehetkel tugevamad),,,,,,,,
Annab,,,,,,,,
